,id,nombre,nrobeneficiarios
0,7514444,Bono de Desarrollo Humano,10675
1,9790224,Bono de Desarrollo Humano,10882
2,4863159,Pension Toda Una Vida,35834
3,6693907,Bono de Desarrollo Humano,10953
4,4317154,Bono de Desarrollo Humano,27978
5,9071364,Pension Toda Una Vida,31646
6,3238377,Bono de Desarrollo Humano,30502
7,6216504,Pension Toda Una Vida,15385
8,2822968,Bono de Desarrollo Humano,27196
9,3029787,Bono de Desarrollo Humano,30004
10,4905882,Pension Toda Una Vida,22518
11,9375789,Pension Toda Una Vida,32245
12,3758915,Pension Toda Una Vida,35428
13,5849923,Pension Mis mejores anios,34351
14,6901237,Pension Toda Una Vida,29170
15,6554041,Pension Toda Una Vida,23925
16,3190242,Pension Toda Una Vida,28428
17,5284080,Bono de Desarrollo Humano,32685
18,2692296,Bono de Desarrollo Humano,8428
19,1963586,Pension Toda Una Vida,20733
20,6365577,Pension Toda Una Vida,24786
21,1098610,Pension Toda Una Vida,23792
22,2298272,Pension Toda Una Vida,22287
23,8966163,Pension Toda Una Vida,16214
24,7315064,Bono de Desarrollo Humano,15708
25,6463067,Bono de Desarrollo Humano,8053
26,7220445,Bono de Desarrollo Humano,34466
27,1162271,Bono de Desarrollo Humano,15726
28,1737940,Bono de Desarrollo Humano,23751
29,2784229,Pension Toda Una Vida,32798
30,7655745,Pension Toda Una Vida,36600
31,1723272,Pension Toda Una Vida,9918
32,4536385,Pension Mis mejores anios,18283
33,4330742,Bono de Desarrollo Humano,14839
34,1460383,Pension Toda Una Vida,20267
35,9447202,Pension Toda Una Vida,23960
36,8335677,Pension Toda Una Vida,34343
37,9904414,Bono de Desarrollo Humano,33682
38,8823444,Bono de Desarrollo Humano,34261
39,4188062,Pension Toda Una Vida,14896
40,5661053,Bono de Desarrollo Humano,10237
41,2673954,Pension Toda Una Vida,19291
42,3698849,Bono de Desarrollo Humano,8731
43,8087933,Bono de Desarrollo Humano,23251
44,5039284,Pension Toda Una Vida,14635
45,5583864,Bono de Desarrollo Humano,20383
46,8767764,Bono de Desarrollo Humano,17662
47,2688591,Pension Toda Una Vida,26178
48,1034098,Pension Toda Una Vida,30750
49,9948677,Pension Toda Una Vida,32932
50,8349857,Pension Toda Una Vida,15093
51,1642044,Pension Toda Una Vida,18429
52,3998199,Bono de Desarrollo Humano,19826
53,9423816,Pension Toda Una Vida,33955
54,6754017,Pension Mis mejores anios,29580
55,3797825,Pension Toda Una Vida,24472
56,1790158,Bono de Desarrollo Humano,24638
57,1420732,Bono de Desarrollo Humano,16231
58,1554339,Pension Toda Una Vida,9141
59,1216719,Pension Toda Una Vida,26039
60,8638003,Pension Toda Una Vida,16254
